	Linear	regression	Scaling						
Year	F3	F5	F3	F5					
1145	18.42	18.419	18.266	18.322		-0.594800348	-0.5832052708	-0.5955414337	-0.5841235741
1146	18.621	18.612	18.529	18.552		-0.1582159417	-0.1693532172	-0.1575839673	-0.1699402702
1147	18.81	18.803	18.775	18.78		0.2523037238	0.240210214	0.2520644613	0.2406414397
1148	18.983	18.97	19	18.979		0.6280704018	0.5983101775	0.626742902	0.5990000374
1149	19.122	19.074	19.182	19.102		0.9299869813	0.821318538	0.9298161297	0.8204980651
1150	19.136	19.074	19.2	19.102		0.9603958454	0.821318538	0.959790405	0.8204980651
1151	18.983	18.962	19.001	18.97		0.6280704018	0.5811556882	0.6284081396	0.5827928646
1152	18.778	18.82	18.734	18.8		0.1827977487	0.2766635037	0.1837897232	0.2766573792
1153	18.673	18.728	18.596	18.69		-0.0452687322	0.0793868772	-0.0460130539	0.0785697121
1154	18.711	18.736	18.646	18.7		0.0372696133	0.0965413664	0.0372488219	0.0965776819
1155	18.811	18.806	18.776	18.784		0.2544757856	0.2466431475	0.2537296988	0.2478446276
1156	18.902	18.898	18.895	18.892		0.4521334023	0.4439197741	0.451892963	0.4423307007
1157	18.979	18.979	18.996	18.989		0.6193821549	0.6176089779	0.620081952	0.6170080071
1158	19.051	19.054	19.089	19.079		0.775770599	0.7784323148	0.7749490408	0.7790797347
1159	19.121	19.126	19.181	19.164		0.9278149196	0.9328227182	0.9281508922	0.9321474775
1160	19.19	19.195	19.27	19.247		1.0776871784	1.0807801881	1.076357031	1.0816136262
1161	19.256	19.249	19.357	19.311		1.2210432521	1.1965729907	1.2212326948	1.1968646325
1162	19.289	19.273	19.4	19.339		1.292721289	1.2480364585	1.2928379079	1.2472869478
1163	19.26	19.255	19.363	19.318		1.229731499	1.2094388576	1.2312241198	1.2094702113
1164	19.202	19.212	19.286	19.267		1.1037519191	1.1172334778	1.1030008312	1.1176295657
1165	19.151	19.164	19.22	19.209		0.9929767712	1.0143065422	0.9930951553	1.0131833413
1166	19.118	19.127	19.177	19.165		0.9212987344	0.9349670294	0.9214899421	0.9339482744
1167	19.093	19.107	19.144	19.142		0.8669971913	0.8920808062	0.8665371041	0.892529944
1168	19.089	19.111	19.139	19.146		0.8583089444	0.9006580508	0.8582109166	0.8997331319
1169	19.128	19.144	19.19	19.186		0.9430193516	0.971420319	0.9431380298	0.9717650109
1170	19.191	19.189	19.272	19.24		1.0798592401	1.0679143212	1.079687506	1.0690080474
1171	19.236	19.227	19.331	19.285		1.1776020177	1.1493981452	1.1779365194	1.1500439112
1172	19.24	19.237	19.336	19.296		1.1862902645	1.1708412568	1.186262707	1.1698526779
1173	19.22	19.227	19.309	19.285		1.1428490301	1.1493981452	1.1413012941	1.1500439112
1174	19.2	19.211	19.284	19.266		1.0994077956	1.1150891667	1.0996703562	1.1158287687
1175	19.191	19.2	19.272	19.253		1.0798592401	1.0915017439	1.079687506	1.0924184081
1176	19.187	19.198	19.267	19.25		1.0711709932	1.0872131216	1.0713613184	1.0870160172
1177	19.193	19.207	19.274	19.26		1.0842033636	1.106511922	1.083017981	1.1050239869
1178	19.216	19.228	19.304	19.286		1.1341607832	1.1515424563	1.1329751065	1.1518447082
1179	19.251	19.255	19.351	19.318		1.2101829435	1.2094388576	1.2112412697	1.2094702113
1180	19.279	19.276	19.387	19.343		1.2710006717	1.254469392	1.2711898202	1.2544901357
1181	19.279	19.279	19.387	19.346		1.2710006717	1.2609023254	1.2711898202	1.2598925266
1182	19.259	19.267	19.36	19.332		1.2275594373	1.2351705915	1.2262284073	1.234681369
1183	19.239	19.253	19.335	19.316		1.1841182028	1.2051502353	1.1845974694	1.2058686174
1184	19.235	19.248	19.33	19.31		1.1754299559	1.1944286795	1.1762712819	1.1950638356
1185	19.245	19.251	19.342	19.314		1.1971505732	1.200861613	1.196254132	1.2022670235
1186	19.252	19.253	19.352	19.315		1.2123550052	1.2051502353	1.2129065072	1.2040678204
1187	19.242	19.242	19.338	19.303		1.190634388	1.1815628126	1.189593182	1.1824582567
1188	19.214	19.222	19.302	19.279		1.1298166598	1.1386765894	1.1296446315	1.1392391294
1189	19.189	19.206	19.269	19.26		1.0755151167	1.1043676109	1.0746917935	1.1050239869
1190	19.189	19.206	19.27	19.26		1.0755151167	1.1043676109	1.076357031	1.1050239869
1191	19.215	19.224	19.304	19.281		1.1319887215	1.1429652117	1.1329751065	1.1428407233
1192	19.246	19.246	19.343	19.308		1.1993226349	1.1901400572	1.1979193696	1.1914622416
1193	19.26	19.26	19.362	19.324		1.229731499	1.2201604134	1.2295588823	1.2202749932
1194	19.256	19.261	19.357	19.325		1.2210432521	1.2223047246	1.2212326948	1.2220757902
1195	19.246	19.255	19.343	19.317		1.1993226349	1.2094388576	1.1979193696	1.2076694144
1196	19.238	19.247	19.334	19.309		1.1819461411	1.1922843684	1.1829322319	1.1932630386
1197	19.235	19.242	19.329	19.302		1.1754299559	1.1815628126	1.1746060444	1.1806574598
1198	19.23	19.233	19.323	19.292		1.1645696473	1.1622640121	1.1646146193	1.16264949
1199	19.214	19.215	19.303	19.27		1.1298166598	1.1236664113	1.131309869	1.1230319566
1200	19.183	19.186	19.261	19.236		1.0624827464	1.0614813877	1.0613698934	1.0618048595
1201	19.145	19.152	19.212	19.195		0.9799444009	0.9885748083	0.9797732551	0.9879721836
1202	19.109	19.116	19.165	19.152		0.9017501789	0.9113796066	0.901507092	0.9105379138
1203	19.077	19.083	19.124	19.114		0.8322442038	0.8406173384	0.8332323539	0.8421076288
1204	19.049	19.061	19.087	19.087		0.7714264755	0.7934424929	0.7716185658	0.7934861105
1205	19.039	19.055	19.074	19.08		0.7497058583	0.780576626	0.7499704781	0.7808805317
1206	19.061	19.071	19.102	19.099		0.7974912162	0.8148856045	0.7965971285	0.8150956742
1207	19.097	19.099	19.149	19.132		0.8756854382	0.8749263169	0.8748632917	0.8745219743
1208	19.127	19.127	19.188	19.166		0.9408472899	0.9349670294	0.9398075548	0.9357490714
1209	19.145	19.148	19.212	19.191		0.9799444009	0.9799975637	0.9797732551	0.9807689957
1210	19.157	19.162	19.228	19.208		1.0060091416	1.0100179199	1.0064170554	1.0113825443
1211	19.168	19.173	19.242	19.22		1.0299018205	1.0336053426	1.0297303806	1.032992108
1212	19.174	19.18	19.251	19.228		1.0429341909	1.0486155207	1.0447175182	1.0473984837
1213	19.179	19.187	19.256	19.237		1.0537944995	1.0636256989	1.0530437058	1.0636056565
1214	19.187	19.196	19.266	19.248		1.0711709932	1.0829244993	1.0696960809	1.0834144232
1215	19.202	19.21	19.286	19.265		1.1037519191	1.1129448555	1.1030008312	1.1140279718
1216	19.221	19.229	19.312	19.288		1.1450210918	1.1536867675	1.1462970066	1.1554463021
1217	19.243	19.252	19.34	19.315		1.1928064497	1.2030059242	1.192923657	1.2040678204
1218	19.269	19.278	19.374	19.346		1.2492800545	1.2587580143	1.2495417325	1.2598925266
1219	19.297	19.301	19.411	19.373		1.3100977827	1.3080771709	1.3111555205	1.3085140449
1220	19.315	19.312	19.433	19.386		1.3491948937	1.3316645937	1.3477907459	1.3319244055
1221	19.304	19.304	19.42	19.377		1.3253022148	1.3145101044	1.3261426582	1.3157172328
1222	19.273	19.277	19.379	19.344		1.2579683014	1.2566137031	1.2578679201	1.2562909327
1223	19.232	19.235	19.326	19.294		1.1689137708	1.1665526345	1.1696103318	1.166251084
1224	19.18	19.182	19.258	19.231		1.0559665612	1.0529041431	1.0563741808	1.0528008747
1225	19.117	19.12	19.176	19.158		0.9191266727	0.9199568512	0.9198247046	0.9213426956
1226	19.05	19.053	19.089	19.077		0.7735985373	0.7762880036	0.7749490408	0.7754781408
1227	18.98	18.981	18.997	18.992		0.6215542167	0.6218976002	0.6217471895	0.6224103981
1228	18.906	18.917	18.9	18.916		0.4608216492	0.4846616861	0.4602191506	0.4855498281
1229	18.854	18.886	18.833	18.879		0.3478744396	0.4181880402	0.3486482371	0.4189203401
1230	18.878	18.912	18.864	18.91		0.400003921	0.4739401303	0.4002706001	0.4747450462
1231	18.983	18.99	19	19.003		0.6280704018	0.6411964007	0.626742902	0.6422191648
1232	19.098	19.073	19.151	19.102		0.8778574999	0.8191742268	0.8781937668	0.8204980651
1233	19.144	19.115	19.21	19.152		0.9777723392	0.9092352955	0.9764427801	0.9105379138
1234	19.106	19.103	19.162	19.137		0.8952339937	0.8835035616	0.8965113794	0.8835259592
1235	19.051	19.086	19.09	19.117		0.775770599	0.8470502719	0.7766142784	0.8475100197
1236	19.068	19.113	19.112	19.149		0.8126956483	0.9049466731	0.8132495037	0.9051355229
1237	19.184	19.206	19.263	19.259		1.0646548081	1.1043676109	1.0647003684	1.1032231899
