# NOAA Paleoclimatology Program - Paleocean Site Data
# gb3313-1-fwc.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Frank Lamy
# Core/Site:      GeoB 3313-1
# Latitude:       41.00.00S	( -41)
# Longitude:      74.27.00W	( -74.45)
# Water Depth(m): 852
#
# Publications:
#   Lamy, F., C. Rühlemann, D. Hebbeln, and G. Wefer. 2002. High- and low-latitude
#     climate control on the position of the southern Peru-Chile Current during the
#     Holocene. Paleoceanography 17(2):1028.
#   Lamy, F., D. Hebbeln, U. Röhl, and G. Wefer. 2001. Holocene rainfall variability
#     in southern Chile: a marine record of latitudinal shifts of the Southern Westerlies.
#     Earth and Planetary Science Letters 185(3-4):369-382.
#------------------
#
# Description & Notes:
#   Southeast Pacific SST Reconstruction.
#   Reconstructed changes of paleotemperature, -salinity, and -productivity within
#   the southern Peru-Chile Current during the last 8,000 years from a high-resolution
#   sediment core recovered at 41°S using alkenones, isotope ratios of planktic foraminifera,
#   biogenic opal, and organic carbon. Fe and chronologic data previously published
#   in Lamy et al, 2001.
#
# Variables:
#             depth         Depth (cm)
#             yrBP C1       radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             calyrBP C2    calendar years B.P. (B.P. = 1950)
#             opal%         Opal percent
#             corg%         Organic Carbon weight percent
#             sst           Sea Surface Temperature (C)
#             Fe cps        Iron, counts per second (measured by scanning XRF)
#             d18O          delta O18 PDB
#             sal           Salinity
#
# CORE: GeoB 3313-1
depth         yrBP C1       calyrBP C2    opal%         corg%         sst           Fe cps        d18O          sal           
 310          -999          -999          -999          -999          -999           5691         -999          -999          
 311          -999          -999          -999          -999          -999           5313         -999          -999          
 312          -999          -999          -999          -999          -999           5866         -999          -999          
 313          -999          -999          -999           1.99         -999           5883          0.7           35.2         
 314          -999          -999          -999          -999          -999           5279         -999          -999          
 315          -999          -999          -999          -999          -999           5030         -999          -999          
 317          -999          -999          -999          -999          -999           5538         -999          -999          
 318          -999          -999          -999           1.95          15.33         5426          0.68          35.17        
 319          -999          -999          -999          -999          -999           5274         -999          -999          
 320          -999          -999          -999          -999          -999           5323         -999          -999          
 321          -999          -999          -999          -999          -999           5400         -999          -999          
 322          -999          -999          -999          -999          -999           5573         -999          -999          
 323          -999          -999           3.5           1.88         -999           5333          0.57          34.75        
 324          -999          -999          -999          -999          -999           5258         -999          -999          
 325          -999          -999          -999          -999          -999           5225         -999          -999          
 326          -999          -999          -999          -999          -999           5202         -999          -999          
 327          -999          -999          -999          -999          -999           5187         -999          -999          
 328          -999          -999          -999           1.98          15.07         5190          0.54          34.63        
 329          -999          -999          -999          -999          -999           5148         -999          -999          
 330          -999          -999          -999          -999          -999           5071         -999          -999          
 331          -999          -999          -999          -999          -999           4991         -999          -999          
 332          -999          -999          -999          -999          -999           5280         -999          -999          
 333          -999          -999          -999           2.06         -999           5159          0.46          34.32        
 334          -999          -999          -999          -999          -999           5123         -999          -999          
 335          -999          -999          -999          -999          -999           4972         -999          -999          
 336          -999          -999          -999          -999          -999           5248         -999          -999          
 337          -999          -999          -999          -999          -999           5169         -999          -999          
 338          -999          -999          -999           1.84          15.1          5172          0.31          33.75        
 339          -999          -999          -999          -999          -999           5248         -999          -999          
